V,Chevrolet,Camaro,Amarelo,45000.00,01/01/2023
V,Ford,Mustang,Azul,40000.00,02/01/2023
V,Honda,CR-V,Prata,38000.00,03/02/2023
V,Renault,Duster,Branco,30000.00,04/02/2023
V,Toyota,Rav4,Vermelho,42000.00,05/03/2023
V,Volkswagen,Tiguan,Preto,35000.00,06/03/2023
V,Mercedes-Benz,CLA 250,Prata,50000.00,07/04/2023
V,BMW,S̩rie 3,Azul,48000.00,08/04/2023
V,Audi,A4,Preto,52000.00,09/05/2023
V,Lexus,UX 250h,Branco,47000.00,10/05/2023
V,Jaguar,F-PACE,Vermelho,55000.00,11/06/2023
V,Tesla,Model 3,Cinza,60000.00,12/06/2023
V,Subaru,Outback,Azul,38000.00,13/07/2023
V,Mazda,CX-5,Prata,36000.00,14/07/2023
V,Volvo,XC60,Branco,42000.00,15/08/2023